name_en,short_desc,category,size
11_SM_Cigarette_03,tan filter cigarette,cigarette,"0.0042,0.0399,0.0042"
11_SM_Cigarette_05,vintage red matchbox,matchbox,"0.0192,0.0340,0.0054"
11_SM_CoffeeCup_01,dark textured cylindrical cup,cup,"0.0585,0.0609,0.0949"
11_SM_ColaCan_01,crushed green soda can,can,"0.0510,0.0494,0.0681"
11_SM_ColaCan_02,crushed brown paper juice container,container,"0.0528,0.0495,0.0673"
11_SM_ColaCan_04,green aluminum can,can,"0.0488,0.0488,0.0934"
11_SM_Door_01,brown wooden door,door,"1.2228,0.1689,2.1072"
11_SM_Door_02,dark wood door,door,"1.2228,0.1689,2.3314"
11_SM_FoodBox_01,white red illustrated burger box,box,"0.2193,0.2000,0.2219"
11_SM_FoodBox_02,white cardboard fries container,container,"0.0897,0.0872,0.1552"
11_SM_FoodBox_03,white cardboard burger box,box,"0.1977,0.2006,0.1333"
11_SM_FoodBox_04,white cardboard box,box,"0.3635,0.2004,0.1999"
11_SM_FoodBox_05,white cardboard fries container,container,"0.0946,0.1241,0.1505"
11_SM_FoodBox_07,white cardboard pizza box,box,"0.5083,0.5569,0.4787"
11_SM_FoodBox_08,gray cardboard pizza box,box,"0.5078,0.5571,0.1022"
11_SM_KitchenSink,white marble kitchen cabinet,cabinet,"1.0000,0.7154,1.2286"
11_SM_Microwawe,white compact microwave,microwave,"0.4993,0.2534,0.2598"
11_SM_Oven,gray metal gas stove,stove,"0.9531,0.6187,0.9249"
11_SM_Poster,tilted food magazine page,page,"0.9193,0.2065,1.3121"
11_SM_Poster_01,sunset pink purple city,city,"1.3121,0.0922,0.9193"
11_SM_Refrigrator,white rounded refrigerator,refrigerator,"0.9703,0.7203,1.7549"
11_SM_Sofa_02,dark green velvet armchair,chair,"1.5377,1.3909,1.4700"
11_SM_TV,black gray crt television,television,"0.6377,0.5202,0.5471"
11_SM_TVStand,dark brown wooden storage box,box,"0.9063,0.6758,0.3194"
11_SM_VHSTape_01,dark gray vhs tape,tape,"0.1779,0.0201,0.1018"
11_SM_VHSTape_02,gray white vhs tape,tape,"0.1779,0.1018,0.0201"
11_SM_Window_01,weathered yellow green window,window,"2.0003,0.0843,1.0984"
12_SM_Ashtrays,dark gray ashtray,ashtray,"0.0802,0.0795,0.0213"
12_SM_Big_Recycle_Bin,weathered gray metal dumpster,dumpster,"1.7916,1.0096,1.1525"
12_SM_BlackBoard,weathered teal chalkboard,chalkboard,"1.6824,0.3900,1.8057"
12_SM_Box_1,cardboard corrugated box,box,"0.6431,0.6471,0.2938"
12_SM_Canopy_12,black metal pergola,pergola,"1.8656,3.1830,2.4405"
12_SM_Ceiling_Fan_Blade,sleek gray ceiling fan,fan,"1.1188,1.2786,0.0530"
12_SM_Chair_2,brown wooden dining chair,chair,"0.4740,0.4670,0.8395"
12_SM_Desk,ornate wooden desk,desk,"1.9344,0.7344,0.7105"
12_SM_Door,dark gray paneled door,door,"1.0124,0.1878,2.1984"
12_SM_Fan,mint green metal desk fan,fan,"0.3991,0.3172,0.5388"
12_SM_Hat,beige widebrimmed hat,hat,"0.3258,0.3721,0.1232"
12_SM_Holder_1,gray green lever arch binder,binder,"0.0796,0.2704,0.3377"
12_SM_Holder_2,dark gray ring binder,binder,"0.0796,0.2704,0.3377"
12_SM_Paper_1,grayscale photo newspaper,newspaper,"0.2131,0.0000,0.3009"
12_SM_Phone,beige multi button landline phone,phone,"0.3499,0.3720,0.1227"
12_SM_Pictuer_2,dark abstract poster,poster,"0.0717,0.0020,0.0735"
12_SM_Pictures,red linked document board,board,"1.5397,0.0899,0.8559"
12_SM_Radio,brown wooden radio,shelf,"0.4041,0.1998,0.2704"
12_SM_Sign_2,blue geometric billboard,billboard,"1.4907,0.1518,0.7098"
12_SM_Sign_5,white outlined open sign,sign,"1.5376,0.0410,0.9035"
12_SM_Small_Recycle_Bin,weathered galvanized trash can,can,"0.4189,0.4252,0.5739"
12_SM_Small_Table_2,gray framed cork bulletin board,board,"1.2169,0.0223,0.8223"
12_SM_Street_Light,gray curved gooseneck lamp,lamp,"2.0263,0.2956,4.8022"
12_SM_Window,gray wooden window,window,"2.1000,0.1897,1.5000"
12_SM_World_Globe,light blue beige desktop globe,desk,"0.4607,0.4280,0.6682"
13_Trash_Props,green metal trash bin,bin,"3.2359,1.6877,2.2554"
14_SM_Air_Vent_Duct_04,gray spiral industrial component,component,"0.3669,0.4424,0.4400"
14_SM_Air_Vent_Duct_05,weathered gray pipe,pipe,"2.0000,0.4645,0.4383"
14_SM_Aircon_01,weathered white air conditioner,air,"0.9589,0.5020,0.7166"
14_SM_Aircon_Blade,gray five blade industrial fan,fan,"0.3492,0.0647,0.3575"
14_SM_Buildings_rollup_8m_01,smooth gray concrete beam,beam,"4.1474,0.3929,0.3541"
14_SM_Car_01,blue grey weathered suv,car,"5.8343,2.5735,1.9830"
14_SM_Cardboards_Box_01,gray cardboard storage box,box,"0.3604,0.2134,0.1959"
14_SM_Cardboards_Box_03,brown cardboard shipping box,box,"0.3532,0.3534,0.3092"
14_SM_Cardboards_Box_07,pink striped shipping box,box,"0.4451,0.3621,0.4050"
14_SM_Cardboards_Box_08,brown cardboard box,box,"0.2095,0.3509,0.2992"
14_SM_Cardboards_Box_10,beige checkered pizza box,box,"0.3433,0.3880,0.3207"
14_SM_Cardboards_Box_11,checkered cardboard pizza box,box,"0.3885,0.0737,0.3528"
14_SM_Cardboards_Box_12,tan red blue cardboard,cardboard,"0.5553,0.4887,0.0223"
14_SM_Fence_Chain,beige metal padlock,padlock,"0.2394,0.1599,0.2495"
14_SM_Power_Post_Light,dark grey wall lamp,lamp,"1.6024,0.5057,0.4748"
14_SM_Sign_01,vintage teal laundry billboard,billboard,"2.5166,1.9556,5.0414"
14_SM_Sign_02,green metal billboard,billboard,"1.9755,0.5005,4.9000"
14_SM_Sign_04,green metal billboard,billboard,"7.5115,1.4783,4.5037"
14_SM_Small_Trash_Bottle_03,green translucent soda bottle,bottle,"0.0820,0.0811,0.2588"
14_SM_Small_Trash_Bottle_04,white disposable coffee cup,cup,"0.0642,0.0642,0.0896"
14_SM_Small_Trash_Debris_04,crumpled cardboard packaging,box,"0.1105,0.0784,0.0484"
14_SM_Small_Trash_Magazine_01,folded newspaper photograph,photo,"0.2500,0.1773,0.0106"
14_SM_Small_Trash_NewsPaper_02,folded newspaper with photo inserts,newspaper,"0.3139,0.2665,0.0310"
14_SM_Small_Trash_NewsPaper_03,folded newspaper headlines,newspaper,"0.3085,0.2634,0.0279"
14_SM_Trash_Bin_Big_Closed,blue gray ribbed dumpster,dumpster,"1.9634,1.0737,1.2680"
14_SM_Trash_Bin_Big_Half_Open_01,dark metal dumpster,bin,"1.9634,1.1160,1.2685"
14_SM_Trash_Bin_Big_Half_Open_03,green metal dumpster,dumpster,"1.9634,1.2124,2.2509"
14_SM_Trash_Bin_Medium_Closed,olive green wheeled trash bin,bin,"0.6035,0.7662,1.1223"
14_SM_Trash_Bin_Medium_HalfOpen,olive green wheeled trash bin,bin,"0.6035,0.8725,1.7193"
14_SM_Trash_Bin_Medium_HalfOpen_02,gray open trash bin,bin,"0.6035,0.8725,1.7193"
14_SM_Trash_Bin_Medium_Open,sage green wheeled trash bin,bin,"0.6035,0.7957,1.0897"
14_SM_TrashBin_Bag,gray plastic trash bag,bag,"0.5006,0.4418,0.5410"
14_SM_TrashBin_Close,white cylindrical trash bin,bin,"0.4597,0.4597,0.6498"
14_SM_TrashBin_Open,white cylindrical trash bin,bin,"0.4815,0.6893,0.6740"
14_SM_Trims_4m_10,gray steel i beam,beam,"4.0000,0.3028,0.4022"
15_SM_Chair_1,gray quilted office chair,chair,"0.6914,0.7184,1.2063"
15_SM_Chair_2,gray quilted office chair,chair,"0.5559,0.5994,0.9212"
15_SM_Curtains,brown translucent curtain,curtain,"3.5754,0.1241,2.8018"
15_SM_Display,dark gray flat panel screen,screen,"0.0400,2.4000,1.6000"
15_SM_Floor_Lamp,white cylindrical floor lamp,lamp,"0.5054,0.4665,1.4896"
15_SM_Sofa,dark gray fabric sofa,sofa,"2.2716,0.9328,0.8840"
15_SM_Table,brown metal conference table,table,"6.6495,1.8999,0.8301"
16_SM_Ceiling_Lamp,sleek black pendant light,lamp,"1.1010,0.0600,1.2177"
16_SM_Chair,gray upholstered bar stool,stool,"0.4930,0.4647,0.9107"
16_SM_Decor_4,silver metallic spiral sculpture,sculpture,"0.2165,0.2165,0.2648"
16_SM_Door_Enter,white plain door,door,"0.9122,0.1465,2.0000"
16_SM_Kitchen_decor_5,stainless steel pitcher,pitcher,"0.1129,0.0877,0.1547"
16_SM_Sofa_module_1,cream inflatable lounge chair,chair,"1.1139,1.1186,0.6316"
16_SM_Tulle,gray linen curtain,curtain,"2.0619,0.1358,3.0683"
16_SM_Tumblr_2,gray rectangular wall switch,switch,"0.1576,0.0162,0.0907"
16_SM_Wiindow,gray metal sliding window,window,"1.3000,0.1500,1.5000"
17_SM_Armchair,beige upholstered armchair,chair,"1.0878,0.9865,0.6849"
17_SM_Bath,dark gray marble bathtub,bathtub,"1.6689,1.0512,0.8620"
17_SM_Bathroom_decor_1,gray marbled towel rack,rack,"0.6485,0.1545,0.5531"
17_SM_Bathroom_decor_10,olive green jar,jar,"0.0873,0.0866,0.0576"
17_SM_Bathroom_decor_3,gray camouflage rolled towel,towel,"0.4418,0.2660,0.1538"
17_SM_Bathroom_decor_4,white paper holder,holder,"0.1623,0.1243,0.2294"
17_SM_Bathroom_decor_5,beige pump bottle,bottle,"0.0742,0.0775,0.2007"
17_SM_Bathroom_decor_6,white translucent pump bottle,bottle,"0.0685,0.0685,0.1873"
17_SM_Bathroom_decor_6_v2,gray pump bottle,bottle,"0.0687,0.0687,0.1873"
17_SM_Bathroom_decor_7,white natural pump dispenser,dispenser,"0.0737,0.0737,0.1698"
17_SM_Bed,gray beige upholstered bed,bed,"1.9969,2.3237,0.9170"
17_SM_Bed_Ottoman,gray beige ottoman,ottoman,"0.7653,0.7663,0.3882"
17_SM_Blinds_2,beige pleated cellular shades,curtain,"1.3576,0.0822,1.4883"
17_SM_Blinds_3,beige pleated cellular shade,lamp,"1.3576,0.0822,1.6660"
17_SM_Clock,gray cylindrical alarm clock,clock,"0.1203,0.1203,0.1160"
17_SM_Coffee_table_1,beige round tray table,table,"0.5097,0.5097,0.4800"
17_SM_Cup,dark gray ceramic cup,cup,"0.1569,0.1569,0.0617"
17_SM_Decor_1,metallic gray molecular model,model,"0.0874,0.1093,0.0819"
17_SM_Decor_10,gray metal bookend,bookcase,"0.1283,0.2553,0.1797"
17_SM_Decor_23,white speckled ceramic bowl,bowl,"0.2527,0.2526,0.1016"
17_SM_Decor_5,frosted glass skincare bottle,bottle,"0.1187,0.1187,0.1574"
17_SM_Headphones,gray beige wireless headphones,headphones,"0.2072,0.2449,0.0939"
17_SM_Kitchen_Decor_1,white ceramic jar,vase,"0.1529,0.1529,0.1543"
17_SM_Kitchen_Decor_12,brown textured paper bag,bag,"0.0923,0.2173,0.2205"
17_SM_Kitchen_Decor_18,natural wooden utensil set,utensil,"0.2777,0.1621,0.3284"
17_SM_Kitchen_Decor_3,curved walnut cutting board,board,"0.3247,0.0684,0.3031"
17_SM_Kitchen_Decor_6,shallow wooden bowl,bowl,"0.1648,0.1634,0.0559"
17_SM_Magazine_1,white rolled magazine,magazine,"0.2471,0.2970,0.0543"
17_SM_Magazine_2,white glossy magazine stack,stack,"0.2502,0.3238,0.0386"
17_SM_Mirror_3,gray sleek standing mirror,mirror,"0.5501,0.0300,1.2393"
17_SM_Opened_Book,cream page magazine,magazine,"0.3882,0.2394,0.0518"
17_SM_Plant_1,green terracotta plant,vase,"0.7065,0.8399,1.1447"
17_SM_Plant_2,terracotta ribbed pot,pot,"0.5713,0.5319,1.1325"
17_SM_Plates,matte black ceramic plates,plate,"0.2370,0.2371,0.0318"
17_SM_Pot,white plastic pot,pot,"0.2614,0.2198,0.1494"
17_SM_Shower_Cabin,gray metal shower enclosure,shower,"1.0014,1.0020,1.9984"
17_SM_Sink_Bathroom,gray marble vessel sink,sink,"1.3000,0.5500,0.7406"
17_SM_Socket_2,gray recessed wall outlet,outlet,"0.1615,0.0327,0.0858"
17_SM_Toilet_2,white ceramic bidet,bidet,"0.3775,0.5601,0.4012"
17_SM_Window_1,dark gray metal window,window,"1.4000,0.1669,2.0600"
17_SM_Window_2,dark gray metal window,window,"1.6000,0.1669,2.1600"
17_SM_Window_3,dark gray metal window frame,frame,"2.1030,0.0800,2.0612"
18_SM_Bed,gray upholstered platform bed,bed,"2.1240,2.3241,0.9162"
18_SM_Book_10,gray modernist magazine,magazine,"0.1345,0.1933,0.0240"
18_SM_Book_5,black silver brain book,book,"0.1843,0.2603,0.0134"
18_SM_Carpet,beige geometric carpet,rug,"2.2000,1.5000,0.0200"
18_SM_Cup,white ceramic cup,cup,"0.1051,0.1258,0.0653"
18_SM_Decor_1,white textured vase,vase,"0.1533,0.1533,0.3541"
18_SM_Decor_2,white reed diffuser,diffuser,"0.1199,0.1199,0.3410"
18_SM_Digital_Clock,gray led digital clock,clock,"0.1500,0.0450,0.0700"
18_SM_Dimmer,white circular dimmer switch,switch,"0.0850,0.0150,0.0850"
18_SM_Picture_1,night cityscape photograph,photo,"0.9251,0.0335,0.6939"
18_SM_Table_Decor,pale pink marshmallow treat,treat,"0.1867,0.1867,0.0706"
18_SM_Wall_Clock,gray round wall clock,clock,"0.3783,0.0670,0.3783"
19_SM_Book_1,ocean sunset paperback book,book,"0.0528,0.2886,0.3707"
19_SM_Book_2,food photography cookbook,cookbook,"0.0528,0.2886,0.3707"
19_SM_Book_3,white abstract art book,bookcase,"0.0328,0.2762,0.3161"
19_SM_Book_4,blurry subway paperback book,book,"0.0328,0.2875,0.3447"
19_SM_Book_5,dark hardcover book,book,"0.0335,0.2478,0.2904"
19_SM_Book_6,olive green mars surface book,book,"0.0351,0.3041,0.3041"
19_SM_Book_7,dark gray freelancer book,desk,"0.0250,0.2349,0.3119"
19_SM_Book_8,dark red forest book,bookcase,"0.0382,0.2741,0.2735"
19_SM_Book_9,gray coral self help book,book,"0.0153,0.2519,0.2947"
19_SM_Box,white cubic storage box,box,"0.3067,0.3067,0.3000"
19_SM_Ceiling_Lamp_3,white frosted globe pendant,lamp,"1.6156,0.2943,1.4252"
19_SM_Chair_2,light wood bar stool,stool,"0.6089,0.5887,0.8312"
19_SM_Cloth_3,reddish brown wooden hanger,hanger,"0.6092,0.1595,0.8393"
19_SM_Coffee_Table,round wooden coffee table,table,"0.7491,0.7491,0.4472"
19_SM_Fridge,white rounded refrigerator,refrigerator,"0.7560,0.7314,1.7245"
19_SM_Kitchen_Decor_16,white plastic bottle,bottle,"0.0837,0.0836,0.2825"
19_SM_Kitchen_Decor_22,white ceramic plates,plate,"0.2005,0.2005,0.0687"
19_SM_Kitchen_Decor_25,white ceramic pepper mill,mill,"0.0429,0.0429,0.1690"
19_SM_Kitchen_Decor_26,dark gray wooden pepper mill,mill,"0.0429,0.0429,0.1690"
19_SM_Kitchen_Decor_27,white ceramic mortar,mortar,"0.0929,0.0827,0.1088"
19_SM_Kitchen_Decor_6,frosted white wine glass,glass,"0.0932,0.0932,0.1398"
19_SM_Kitchen_Decor_7,frosted glass tumbler,tumbler,"0.0991,0.0991,0.1810"
19_SM_Mouse,sleek gray wireless mouse,mouse,"0.0700,0.1150,0.0360"
19_SM_Sink,white modern sink,sink,"0.9046,0.6177,0.7058"
19_SM_TV_Table,light wood tv cabinet,cabinet,"2.6000,0.5000,0.5288"
19_SM_Window,white glass window frame,frame,"2.2000,0.1946,2.1500"
2_barrel1,weathered red metal drum,drum,"0.5572,0.5571,0.9144"
2_barrelWater,blue plastic barrel,barrel,"0.5291,0.5291,1.0487"
2_box1,natural wood crate,crate,"0.8293,1.4330,1.0044"
2_FireExtinguisher,weathered red fire extinguisher,fire,"0.1883,0.3331,0.6350"
2_garbageBag2,black plastic garbage bag,bag,"0.5225,0.6326,0.9228"
2_gasCylinder,weathered white gas cylinder,cylinder,"0.3578,0.3578,0.7023"
2_gasCylinderLong,weathered white gas cylinder,cylinder,"0.2226,0.2226,1.7082"
2_tire1,black rubber tire,tire,"0.9036,0.9036,0.3036"
2_waterCan,blue translucent water jug,jug,"0.3898,0.3898,0.7191"
20_SM_Bowl_with_Oranges,white bowl fruit snacks,bowl,"0.2536,0.2527,0.1464"
20_SM_Chair,light gray upholstered chair,chair,"0.4823,0.5800,0.8316"
20_SM_Coffee_table,light gray wood coffee table,table,"1.1400,0.8000,0.4110"
20_SM_Door_2,white panel door,door,"0.9985,0.0732,2.1406"
20_SM_Juice,creamy peach smoothie,drink,"0.0733,0.1643,0.1902"
20_SM_Kitchen_Decor_10,green textured ceramic pot,pot,"0.2294,0.1774,0.2241"
20_SM_Kitchen_Decor_15,gray cylindrical kettle,kettle,"0.1571,0.1130,0.1704"
20_SM_Kitchen_Decor_20,gray ceramic bowl,bowl,"0.1627,0.1627,0.1409"
20_SM_Kitchen_Decor_3,white ceramic pitcher,pitcher,"0.1981,0.1694,0.2271"
20_SM_Kitchen_Decor_4,white ceramic teapot,teapot,"0.1848,0.3078,0.1502"
20_SM_Kitchen_Decor_5,white porcelain teapot,teapot,"0.1809,0.1375,0.1736"
20_SM_Power_socket,white european wall outlet,outlet,"0.2795,0.0382,0.1008"
20_SM_Remote,gray colorful remote control,remote,"0.0663,0.2650,0.0251"
20_SM_Sink,stainless steel double bowl sink,sink,"0.7237,0.4942,0.5647"
20_SM_Sofa,light gray tufted sofa,sofa,"2.2696,0.9354,0.8325"
20_SM_Table,light wood aframe table,table,"1.7298,0.9093,0.7728"
20_SM_TV_Stand,gray wood tv cabinet,cabinet,"2.3000,0.3988,0.6500"
20_SM_Wardrobe,gray wooden storage locker,locker,"1.3000,0.3500,2.7000"
21_SM_Camera_NN_01a,white gray vintage camera,camera,"0.1589,0.0508,0.0898"
21_SM_Camera_NN_01ah,dark brown audio cassette,cassette,"0.1378,0.1889,0.0354"
21_SM_Camera_NN_01b,silver black film camera,camera,"0.1589,0.1745,0.0902"
21_SM_Map_Calendar_01d,pink floral wall calendar,calendar,"0.3000,0.0495,0.5329"
21_SM_Map_Calendar_01e,underwater spiral wall calendar,calendar,"0.3000,0.0495,0.5329"
21_SM_Map_Calendar_01h,black white newspaper stack,stack,"0.2622,0.2085,0.0602"
21_SM_Office_Chair_01a,gray swivel office chair,chair,"0.6082,0.6326,0.8849"
21_SM_Outerwear_NN_01a,beige hooded coat,coat,"0.5230,0.2032,1.1989"
21_SM_PC_01ad,gray rectangular iec c,cabinet,"0.0191,0.0752,0.0260"
21_SM_PC_01ae,gray cylindrical electrical plug,plug,"0.0229,0.0594,0.0229"
21_SM_PC_01af,white plastic l shaped connector,connector,"0.0308,0.0519,0.0146"
21_SM_PC_01ag,gray black electrical connector,connector,"0.0308,0.0513,0.0146"
21_SM_PC_01ah,white plastic electrical plug,plug,"0.0176,0.0595,0.0176"
21_SM_PC_01t,dark gray hinged box,cabinet,"0.1142,0.1909,0.1069"
21_SM_PC_01z,blue gray orange floppy disk,disk,"0.0900,0.0948,0.0045"
21_SM_PC_NN_01a,vintage beige desktop tower,desktop,"0.3731,0.3398,0.1144"
21_SM_PC_NN_01ab,gray white red floppy disk,disk,"0.0900,0.0948,0.0045"
21_SM_PC_NN_01c,flat white network switch,switch,"0.3601,0.3409,0.0497"
21_SM_PC_NN_01d,gray green crt monitor,monitor,"0.3397,0.4071,0.3326"
21_SM_PC_NN_01f,light gray wired keyboard,keyboard,"0.3666,0.0237,0.2535"
21_SM_PC_NN_01g,light gray compact keyboard,keyboard,"0.3646,0.0226,0.1775"
21_SM_PC_NN_01n,light gray power strip,strip,"0.1004,0.3270,0.0336"
21_SM_Picture_Frames_01b,black wooden picture frame,frame,"0.6139,0.0268,0.4485"
21_SM_Stationery_01ay,white printed table layout,table,"0.2100,0.2970,0.0010"
21_SM_Stationery_01d,white teal gray folder,folder,"0.6259,0.3333,0.0839"
21_SM_Stationery_01e,teal green paper folders,folder,"0.6360,0.3331,0.0822"
21_SM_Stationery_01g,tan manila folder,folder,"0.2446,0.3353,0.0247"
21_SM_Stationery_01h,wooden metal cutting board,cuttingboard,"0.2402,0.0127,0.3334"
21_SM_Stationery_01i,beige cardboard folder,folder,"0.1550,0.0253,0.2188"
21_SM_Stationery_01k,beige cardboard folder,folder,"0.1550,0.2134,0.0253"
21_SM_Stationery_01m,manila folder with papers,folder,"0.2982,0.2356,0.0678"
21_SM_Stationery_01o,gray circular pen holder,holder,"0.0884,0.0884,0.1460"
21_SM_Stationery_01p,gray embossed pen holder,holder,"0.0884,0.0989,0.2016"
21_SM_Stationery_01q,white rectangular pen holder,holder,"0.0955,0.0982,0.2035"
21_SM_Stationery_01r,beige rectangular pen holder,holder,"0.0884,0.0884,0.1560"
21_SM_Stationery_01t,blue transparent ballpoint pen,pen,"0.0075,0.1431,0.0096"
21_SM_Stationery_01u,white plastic pen,pen,"0.0096,0.1431,0.0075"
21_SM_Stationery_01v,pink wooden pencil,pencil,"0.0063,0.1833,0.0073"
21_SM_Stationery_NN_01a,teal green ring binder,binder,"0.0876,0.2862,0.3262"
21_SM_Stationery_NN_01ae,gray metal paper clip,clip,"0.0135,0.0411,0.0036"
21_SM_Tanker_Desk_NN_01i,beige plastic key,key,"0.0237,0.0635,0.0228"
21_SM_Tanker_Desk_NN_01j,beige wooden desk,desk,"1.5244,0.7765,0.7341"
21_SM_Utility_Storage_01v,red white plastic cooler box,box,"0.3988,0.3070,0.3964"
21_SM_Utility_Storage_NN_01g,gray metal filing cabinet,cabinet,"0.3131,0.4773,1.0394"
21_SM_Utility_Storage_NN_01k,gray metal filing cabinet,cabinet,"0.3127,0.4794,0.7952"
21_SM_Water_Cooler_NN_01a,gray large top loading water dispenser,dispenser,"0.4773,0.3808,1.3405"
21_SM_Water_Cooler_NN_01b,gray textured water dispenser,dispenser,"0.4049,0.3409,1.0541"
21_SM_Water_Cooler_NN_01d,light gray fabric water dispenser,dispenser,"0.2812,0.2826,0.4990"
22_SM_Bench_Padded_NN_01a,yellow geometric sofa,sofa,"1.9022,0.6694,0.8352"
22_SM_Bench_Wooden_01a,rustic wooden park bench,bench,"2.0959,0.6581,1.3017"
22_SM_Dumpster_Large_01a,blue gray metal dumpster,dumpster,"3.6592,2.3053,1.2572"
22_SM_Food_Stall_Sacks_NN_01a,beige burlap sack,sack,"0.5591,0.5272,0.6592"
22_SM_Food_Stall_Sacks_NN_01h,beige burlap sack,sack,"0.5792,0.5380,0.6949"
22_SM_Food_Stall_Sacks_NN_01m,light brown burlap sack,sack,"0.5833,0.5249,0.5376"
22_SM_Hydrant_Set_01a,weathered red fire hydrant,hydrant,"0.6238,0.5363,1.0277"
22_SM_Moroccan_Table_01a,ornate painted hexagonal table,table,"0.3979,0.3446,0.4244"
22_SM_Post_Boxes_01d,weathered blue post box,mailbox,"0.5101,0.5101,1.1495"
22_SM_Post_Boxes_NN_01d,weathered red cylindrical post box,postbox,"0.5130,0.5147,1.1506"
22_SM_Public_Telephone_01a,weathered concrete telephone booth,booth,"1.5432,1.2989,2.7491"
22_SM_Rug_Stacked_01a,earth toned folded fabric,fabric,"0.5921,0.5221,0.1355"
22_SM_Rug_Stacked_01b,earth toned woven fabric,rug,"0.6109,0.5464,0.1587"
22_SM_Rug_Stacked_01c,earth tone ornate tapestry blanket,blanket,"0.5710,0.6105,0.2252"
22_SM_Rug_Stacked_01g,vintage fabric rug,rug,"0.5720,0.5423,0.0631"
22_SM_Rug_Stacked_01h,gray tan geometric blanket,blanket,"0.5076,0.4906,0.0775"
22_SM_Rugs_Hanging_01b,burgundy geometric rug,rug,"0.5918,0.9443,0.0755"
22_SM_Stalls_Overhang_Market_01a,gray fabric canopy,bed,"3.6093,2.8095,2.9101"
22_SM_Stalls_Overhang_Market_NN_01a,brown fabric canopy,bed,"3.6139,2.8212,2.9244"
22_SM_Street_Vendor_Cart_NN_01a,wooden tiered food cart,cart,"1.9344,0.6223,1.9414"
22_SM_Street_Vendor_Cart_NN_01c,white textured bowl,bowl,"0.4085,0.4081,0.2302"
22_SM_Street_Vendor_Cart_NN_01d,white bowl filled with dark purple roasted beets with stems,bowl,"0.2853,0.2821,0.1696"
22_SM_Street_Vendor_Cart_NN_01i,gray egg tray,tray,"0.4456,0.2381,0.1308"
22_SM_Street_Vendor_Cart_NN_01m,white marble textured plates,plate,"0.2009,0.2008,0.0419"
22_SM_Street_Vendor_Cart_NN_01n,white translucent bowl,bowl,"0.1301,0.1302,0.0358"
22_SM_Street_Vendor_Cart_NN_02a,weathered white food cart,cart,"2.2423,0.9480,2.1357"
22_SM_Trash_Rolling_NN_01a,green wheeled trash bin,bin,"1.4175,1.1424,1.5132"
22_SM_Trash_Rolling_NN_01d,gray wheeled waste bin,bin,"1.7481,1.2998,1.4101"
23_SM_Light_Xmas_NN_01a,red bulb packaging box,box,"0.4818,0.3026,0.0720"
23_SM_Nutcrackers_NN_01a,traditional blue yellow gray nutcracker,nutcracker,"0.1576,0.1508,0.4602"
23_SM_Nutcrackers_NN_01b,traditional wooden nutcracker,nutcracker,"0.1443,0.1800,0.4658"
23_SM_Nutcrackers_NN_01c,gray wooden nutcracker,nutcracker,"0.1549,0.1768,0.4426"
23_SM_Nutcrackers_NN_01d,knitted red nutcracker,ornament,"0.1431,0.1298,0.4266"
23_SM_Standee_Plastic_Xmas_NN_11a,whimsical red hat elf,hat,"0.2128,0.1767,0.5224"
23_SM_Standee_Plastic_Xmas_NN_11b,terracotta carved angel figurine,figurine,"0.2322,0.1647,0.3598"
23_SM_Standee_Plastic_Xmas_NN_11c,olive green painted angel,statue,"0.2649,0.1738,0.3896"
23_SM_Standee_Plastic_Xmas_NN_11d,terracotta angel figurine,figurine,"0.2010,0.2172,0.3911"
23_SM_Xmas_Decor_NN_21a,brown wooden geometric deer,shelf,"0.6223,0.4673,1.0223"
23_SM_Xmas_Decor_NN_21c,green red evergreen wreath,wreath,"0.7563,0.3100,0.7638"
23_SM_Xmas_Gifts_NN_01a,red chevron gift box,box,"0.7027,0.4470,0.3357"
23_SM_Xmas_Gifts_NN_01b,beige candy cane gift box,box,"0.2903,0.2892,0.3568"
23_SM_Xmas_Gifts_NN_01c,beige snowflake gift box,box,"0.6368,0.4480,0.1661"
23_SM_Xmas_Gifts_NN_01d,green cylindrical gift box,box,"0.3088,0.3110,0.3606"
23_SM_Xmas_Gifts_NN_01e,dark floral gift box,box,"0.4081,0.4024,0.2458"
23_SM_Xmas_Gifts_NN_01f,green lidded gift box,box,"0.1754,0.1796,0.2752"
23_SM_Xmas_Gifts_NN_01g,white marble gift box,box,"0.1244,0.1240,0.1559"
23_SM_Xmas_Gifts_NN_01h,pastel floral gift box,box,"0.3056,1.0024,0.1908"
23_SM_Xmas_Gifts_NN_01i,red plaid gift box,box,"0.4720,0.4709,0.2769"
23_SM_Xmas_Gifts_NN_01j,turquoise golden cylindrical gift box,box,"0.1805,0.1795,0.5245"
23_SM_Xmas_Plastic_Standees_01a,coral pink ceramic santa,vase,"0.9501,0.9447,1.8108"
23_SM_Xmas_Plastic_Standees_01b,white snowman toy,toy,"0.6982,0.6990,1.4619"
23_SM_Xmas_Tree_NN_01b,gold star decorated tree,tree,"1.4175,1.5292,2.2318"
24_SM_Bank_Atm_Machine_15a,gray wall mounted atm machine,atm,"1.1077,0.2397,1.6626"
24_SM_Bank_Set_01b,gray black silver sign,sign,"0.3515,0.2480,1.4030"
24_SM_Bank_Set_01d,gray gooseneck desktop,desk,"0.3426,0.2600,0.4118"
24_SM_Banker_Set_66a,beige digital scale,scale,"0.3973,0.7717,0.1975"
24_SM_Banker_Set_66b,beige digital bill counter,counter,"0.4613,0.6746,0.4091"
